qubit,backend,timestamp,canary_eps_sx,canary_sigma,rb_eps_sx,rb_sigma,rb_epc,rb_p,r_native,p0g1,p1g0
0,ionq_simulator:forte-1,2026-08-09T20:27:31.916649+00:00,6.122997410499618e-05,1.890137975549739e-05,0.05454330580968609,inf,0.3640765662796546,0.27184686744069075,6.675,0.0005,0.0018
3,ionq_simulator:forte-1,2026-08-09T20:27:31.916690+00:00,5.523879242738388e-05,1.4001927085515048e-05,0.055893774319363106,inf,0.3730909435817487,0.2538181128365026,6.675,0.0005,0.0018
6,ionq_simulator:forte-1,2026-08-09T20:27:31.916704+00:00,6.713066033902531e-05,1.9079252214738066e-05,0.05589292396499338,inf,0.3730852674663308,0.2538294650673384,6.675,0.0005,0.0018
9,ionq_simulator:forte-1,2026-08-09T20:27:31.916714+00:00,7.554497620489622e-05,1.9335046713017603e-05,0.05542179953082531,inf,0.36994051186825894,0.2601189762634821,6.675,0.0005,0.0018
12,ionq_simulator:forte-1,2026-08-09T20:27:31.916723+00:00,8.54087367864102e-05,1.963812721953945e-05,0.05601236425783807,inf,0.37388253142106914,0.2522349371578617,6.675,0.0005,0.0018
15,ionq_simulator:forte-1,2026-08-09T20:27:31.916732+00:00,7.276069791683171e-05,2.1496447386193364e-05,0.054067343736983096,inf,0.36089951944436216,0.27820096111127574,6.675,0.0005,0.0018
18,ionq_simulator:forte-1,2026-08-09T20:27:31.916741+00:00,6.508607360613515e-05,1.9017478785364712e-05,0.05532823563030845,inf,0.3693159728323089,0.2613680543353823,6.675,0.0005,0.0018
21,ionq_simulator:forte-1,2026-08-09T20:27:31.916749+00:00,8.056578178038928e-05,1.9488884348031678e-05,0.055633020776220954,inf,0.37135041368127486,0.2572991726374502,6.675,0.0005,0.0018
