qubit,backend,timestamp,canary_eps_sx,canary_sigma,published_device_eps_1q,published_device_eps_1q_sigma,p0g1,p1g0
0,ionq_simulator:forte-1,2026-08-10T13:55:02.612992+00:00,5.149271999791536e-05,1.86105704103683e-05,0.00019999999999997797,0.0,0.0005,0.0018
1,ionq_simulator:forte-1,2026-08-10T13:55:02.613053+00:00,7.180517697022842e-05,1.8696043597169252e-05,0.00019999999999997797,0.0,0.0005,0.0018
2,ionq_simulator:forte-1,2026-08-10T13:55:02.613077+00:00,7.586995116010405e-05,1.9344976668904212e-05,0.00019999999999997797,0.0,0.0005,0.0018
3,ionq_simulator:forte-1,2026-08-10T13:55:02.613092+00:00,5.059572298570751e-05,1.8583950838314038e-05,0.00019999999999997797,0.0,0.0005,0.0018
4,ionq_simulator:forte-1,2026-08-10T13:55:02.613106+00:00,5.879118593887186e-05,1.8828226711996673e-05,0.00019999999999997797,0.0,0.0005,0.0018
5,ionq_simulator:forte-1,2026-08-10T13:55:02.613120+00:00,6.408344966023138e-05,1.8987240861324673e-05,0.00019999999999997797,0.0,0.0005,0.0018
6,ionq_simulator:forte-1,2026-08-10T13:55:02.613134+00:00,7.346758652796408e-05,1.9271659061121313e-05,0.00019999999999997797,0.0,0.0005,0.0018
7,ionq_simulator:forte-1,2026-08-10T13:55:02.613147+00:00,6.493617470847816e-05,1.901295573568462e-05,0.00019999999999997797,0.0,0.0005,0.0018
8,ionq_simulator:forte-1,2026-08-10T13:55:02.613161+00:00,7.940310631124156e-05,1.9453179712488253e-05,0.00019999999999997797,0.0,0.0005,0.0018
9,ionq_simulator:forte-1,2026-08-10T13:55:02.613175+00:00,7.922119055614507e-05,1.944759763146641e-05,0.00019999999999997797,0.0,0.0005,0.0018
10,ionq_simulator:forte-1,2026-08-10T13:55:02.613188+00:00,6.075365449573479e-05,1.8887075575644003e-05,0.00019999999999997797,0.0,0.0005,0.0018
11,ionq_simulator:forte-1,2026-08-10T13:55:02.613202+00:00,7.367752425532597e-05,1.9278057910683004e-05,0.00019999999999997797,0.0,0.0005,0.0018
12,ionq_simulator:forte-1,2026-08-10T13:55:02.613215+00:00,6.909955962747664e-05,1.9138879933282233e-05,0.00019999999999997797,0.0,0.0005,0.0018
13,ionq_simulator:forte-1,2026-08-10T13:55:02.613229+00:00,6.43236919732785e-05,1.8994483010905162e-05,0.00019999999999997797,0.0,0.0005,0.0018
14,ionq_simulator:forte-1,2026-08-10T13:55:02.613247+00:00,7.229059171382804e-05,1.923581372145474e-05,0.00019999999999997797,0.0,0.0005,0.0018
15,ionq_simulator:forte-1,2026-08-10T13:55:02.613265+00:00,4.9766969640711274e-05,1.8559381927336145e-05,0.00019999999999997797,0.0,0.0005,0.0018
16,ionq_simulator:forte-1,2026-08-10T13:55:02.613277+00:00,7.168488398124385e-05,1.921738620321992e-05,0.00019999999999997797,0.0,0.0005,0.0018
17,ionq_simulator:forte-1,2026-08-10T13:55:02.613291+00:00,5.659093110586184e-05,1.8762410521302916e-05,0.00019999999999997797,0.0,0.0005,0.0018
18,ionq_simulator:forte-1,2026-08-10T13:55:02.613303+00:00,7.243530541019848e-05,1.924021830313432e-05,0.00019999999999997797,0.0,0.0005,0.0018
19,ionq_simulator:forte-1,2026-08-10T13:55:02.613315+00:00,4.739820578151166e-05,1.8489293126178568e-05,0.00019999999999997797,0.0,0.0005,0.0018
20,ionq_simulator:forte-1,2026-08-10T13:55:02.613341+00:00,8.113712212643114e-05,1.950644737914104e-05,0.00019999999999997797,0.0,0.0005,0.0018
21,ionq_simulator:forte-1,2026-08-10T13:55:02.613357+00:00,5.1714375095403895e-05,1.861715272960834e-05,0.00019999999999997797,0.0,0.0005,0.0018
22,ionq_simulator:forte-1,2026-08-10T13:55:02.613368+00:00,5.680726251518754e-05,1.8259260012136922e-05,0.00019999999999997797,0.0,0.0005,0.0018
23,ionq_simulator:forte-1,2026-08-10T13:55:02.613381+00:00,5.3520780940751054e-05,1.8670861349694975e-05,0.00019999999999997797,0.0,0.0005,0.0018
24,ionq_simulator:forte-1,2026-08-10T13:55:02.613393+00:00,6.239526452483696e-05,1.9798634789832772e-05,0.00019999999999997797,0.0,0.0005,0.0018
25,ionq_simulator:forte-1,2026-08-10T13:55:02.613407+00:00,7.349557408218782e-05,1.92725120238848e-05,0.00019999999999997797,0.0,0.0005,0.0018
26,ionq_simulator:forte-1,2026-08-10T13:55:02.613420+00:00,7.166958816079734e-05,2.1596658902109446e-05,0.00019999999999997797,0.0,0.0005,0.0018
27,ionq_simulator:forte-1,2026-08-10T13:55:02.613432+00:00,7.165253463278868e-05,2.1929137962192014e-05,0.00019999999999997797,0.0,0.0005,0.0018
28,ionq_simulator:forte-1,2026-08-10T13:55:02.613444+00:00,5.7819796030825176e-05,1.879914827315525e-05,0.00019999999999997797,0.0,0.0005,0.0018
