qubit,backend,timestamp,canary_eps_sx,canary_sigma,published_device_eps_1q,published_device_eps_1q_sigma,p0g1,p1g0
0,ionq_simulator:forte-1,2026-08-10T13:19:07.552926+00:00,nan,nan,nan,nan,0.0005,0.0018
1,ionq_simulator:forte-1,2026-08-10T13:19:07.552966+00:00,nan,nan,nan,nan,0.0005,0.0018
2,ionq_simulator:forte-1,2026-08-10T13:19:07.552977+00:00,nan,nan,nan,nan,0.0005,0.0018
3,ionq_simulator:forte-1,2026-08-10T13:19:07.552984+00:00,nan,nan,nan,nan,0.0005,0.0018
4,ionq_simulator:forte-1,2026-08-10T13:19:07.552990+00:00,nan,nan,nan,nan,0.0005,0.0018
5,ionq_simulator:forte-1,2026-08-10T13:19:07.552996+00:00,nan,nan,nan,nan,0.0005,0.0018
6,ionq_simulator:forte-1,2026-08-10T13:19:07.553002+00:00,nan,nan,nan,nan,0.0005,0.0018
7,ionq_simulator:forte-1,2026-08-10T13:19:07.553008+00:00,nan,nan,nan,nan,0.0005,0.0018
8,ionq_simulator:forte-1,2026-08-10T13:19:07.553013+00:00,nan,nan,nan,nan,0.0005,0.0018
9,ionq_simulator:forte-1,2026-08-10T13:19:07.553019+00:00,nan,nan,nan,nan,0.0005,0.0018
10,ionq_simulator:forte-1,2026-08-10T13:19:07.553024+00:00,nan,nan,nan,nan,0.0005,0.0018
11,ionq_simulator:forte-1,2026-08-10T13:19:07.553030+00:00,nan,nan,nan,nan,0.0005,0.0018
12,ionq_simulator:forte-1,2026-08-10T13:19:07.553036+00:00,nan,nan,nan,nan,0.0005,0.0018
13,ionq_simulator:forte-1,2026-08-10T13:19:07.553042+00:00,nan,nan,nan,nan,0.0005,0.0018
14,ionq_simulator:forte-1,2026-08-10T13:19:07.553047+00:00,nan,nan,nan,nan,0.0005,0.0018
15,ionq_simulator:forte-1,2026-08-10T13:19:07.553052+00:00,nan,nan,nan,nan,0.0005,0.0018
16,ionq_simulator:forte-1,2026-08-10T13:19:07.553057+00:00,nan,nan,nan,nan,0.0005,0.0018
17,ionq_simulator:forte-1,2026-08-10T13:19:07.553063+00:00,nan,nan,nan,nan,0.0005,0.0018
18,ionq_simulator:forte-1,2026-08-10T13:19:07.553068+00:00,nan,nan,nan,nan,0.0005,0.0018
19,ionq_simulator:forte-1,2026-08-10T13:19:07.553073+00:00,nan,nan,nan,nan,0.0005,0.0018
20,ionq_simulator:forte-1,2026-08-10T13:19:07.553090+00:00,nan,nan,nan,nan,0.0005,0.0018
21,ionq_simulator:forte-1,2026-08-10T13:19:07.553097+00:00,nan,nan,nan,nan,0.0005,0.0018
22,ionq_simulator:forte-1,2026-08-10T13:19:07.553102+00:00,nan,nan,nan,nan,0.0005,0.0018
23,ionq_simulator:forte-1,2026-08-10T13:19:07.553107+00:00,nan,nan,nan,nan,0.0005,0.0018
24,ionq_simulator:forte-1,2026-08-10T13:19:07.553112+00:00,nan,nan,nan,nan,0.0005,0.0018
25,ionq_simulator:forte-1,2026-08-10T13:19:07.553118+00:00,nan,nan,nan,nan,0.0005,0.0018
26,ionq_simulator:forte-1,2026-08-10T13:19:07.553124+00:00,nan,nan,nan,nan,0.0005,0.0018
27,ionq_simulator:forte-1,2026-08-10T13:19:07.553129+00:00,nan,nan,nan,nan,0.0005,0.0018
28,ionq_simulator:forte-1,2026-08-10T13:19:07.553134+00:00,nan,nan,nan,nan,0.0005,0.0018
