arch,T1_true,T1_rec,T1_sig,T2_true,T2_rec,T2_sig,T2_ramsey_rec,T2_ramsey_sig,T2_echo_rec,T2_echo_sig,dw_true,dw_rec,dw_sig,eps_true,eps_rec,eps_sig,t1_resid,ram_resid,gate_resid,echo_resid,t1_chi2,ramsey_chi2,gate_chi2,echo_chi2
superconducting,0.0002887357640642914,0.00027612251597475826,1.1506684802810708e-05,4.346607374911452e-05,4.3328399026942736e-05,1.3820475187825492e-06,4.665027984413986e-05,2.4159335797899094e-06,4.2223339365636476e-05,1.5954485132468857e-06,87129.1768113584,86398.16733871616,2442.0396470998544,0.000106184002918917,0.00010866987123650013,8.000700122851349e-06,0.0019868595478236047,0.0014626522336104722,6.20314984092101e-05,0.0004960821986872826,1.6609290146038775,1.3109735442850536,0.12943807021131454,0.6083541052383586
superconducting,0.00015190567366515982,0.0001572579204731884,6.944669890021693e-06,0.00010492810989735164,0.00011229164438624576,3.858174438176845e-06,0.00011171728515966029,4.09860851248215e-06,0.00011676067977311485,9.017497151222357e-06,28885.556445086455,28443.640477755907,985.0712532358066,0.00022032889610150698,0.00023417530716514254,1.6648562184978187e-05,0.0004016393876984214,0.0010368292609680327,0.00019705122958746244,0.0012555331474612044,0.2629818781900058,0.8856842750046449,0.35295344183793764,1.6074261873292048
superconducting,0.00022433004384035486,0.00024878189827895,1.1945298244174791e-05,0.00013487582496223176,0.00013846067210631705,7.401066248342904e-06,0.0001337569025573995,7.180623033018862e-06,0.00015064728549146666,1.1359851930601281e-05,17727.657930321395,17827.311004701474,754.185841491375,0.001446741118056417,0.0013767081544397769,0.00010171438949866414,0.0003379007003935794,0.00169341639707842,5.418907606332231e-05,0.0011689988405704267,0.24332975442357338,1.4723829850134464,0.09557817992734848,1.5241815552074771
superconducting,0.00021503986395112411,0.0002202550104555029,7.182085261048745e-06,3.714169107890689e-05,3.823738107969682e-05,1.8281843449504765e-06,4.002528511303412e-05,2.09259267991991e-06,3.2473209636316314e-05,2.5449168808633894e-06,146375.07100103915,149259.55567126136,2746.986835371221,0.00025230106759534064,0.00024397001389848911,1.7933286070185125e-05,0.0012500660933705253,0.00035202753043419254,0.00014104666054587454,0.002007024145711105,0.857602219992624,0.30548324036044766,0.2947296213815637,2.1797911451033007
superconducting,0.00034822552904591344,0.00034501766180806775,1.063588184365993e-05,0.00010642448549938418,0.00010219025521152407,5.9069856299022695e-06,0.00010249958136891984,5.566494381304284e-06,0.00010193079314685684,7.862869719538565e-06,35841.66541387427,37144.03923945578,938.1991988653986,0.00042818865944366545,0.0004436836568024246,3.413632762201782e-05,0.00185962614177463,0.00282889207388271,0.0008613256930159114,0.0009514900428321874,1.1822049668661654,2.4685674818869066,1.1478497141891508,1.037775986579632
superconducting,0.0003817177339419873,0.00040943207149261407,1.3052538286357302e-05,0.00015826902277710718,0.00014911648957406846,7.0407997230109135e-06,0.0001462173330582868,7.616269197492001e-06,0.00016615557272464763,1.2832420905166112e-05,10534.774635635385,11113.47215687943,663.4818757635973,0.00011064424459366735,0.00012181846527563209,8.658692056691118e-06,0.000933483888569218,0.0005684043471208309,0.00010598007363515372,0.0016167824614778262,0.6116806159224717,0.481373225944054,0.19174780407631142,2.070341271043519
superconducting,0.0003235836281525911,0.0003095658957028099,1.1242386837595688e-05,5.506164958018512e-05,5.504846208411626e-05,2.449604840336303e-06,5.487167738295933e-05,2.807914939670372e-06,5.561157667055756e-05,4.226724211298766e-06,65814.33023732985,64272.816885420194,1889.321002703728,0.0002784503757726887,0.0002937056122080674,2.0933370265275953e-05,0.006658909686599675,0.00012235203796781254,0.00013694589305863656,0.0009903600242656264,4.216498361495338,0.10042643485176313,0.17465985375141832,1.4057632005113885
superconducting,9.619832393549978e-05,9.51431748583344e-05,3.06279067077406e-06,7.08526053903371e-05,7.398518265470397e-05,3.2041619224608417e-06,7.13723689869217e-05,3.840808459152574e-06,7.99659897765278e-05,5.810965918358911e-06,23571.346428682256,23080.213024295263,1453.5983915001048,0.0005279753022239225,0.0004500642901511807,3.480256028069524e-05,0.000902838406807206,0.0005367118020964958,0.00025789504373589334,6.811207165917786e-05,0.597555454721845,0.467273276693954,0.5792642057472777,0.07821305446796945
superconducting,0.00018925602752718025,0.00020527090936670338,7.678002170492562e-06,9.153328791456297e-05,8.899363661100902e-05,4.464594066767266e-06,9.247381406235878e-05,4.710271421728825e-06,8.826955455793419e-05,4.731559112879469e-06,32844.99480900751,35899.54279890923,1083.5822459193646,0.0002485808830688034,0.0002411932828078798,1.7706137907906574e-05,0.0025192596073578535,0.006389313156995315,0.0004795055773944793,0.0009630804218996617,1.701234633818196,5.2164352400381615,0.8722167447949045,1.0755820377276584
superconducting,0.0001098604294901935,0.00010849317156067235,5.030360243114159e-06,8.32674467571722e-05,8.302275218894197e-05,3.5030917340025257e-06,8.093356969593238e-05,4.100661651891575e-06,8.592322843512949e-05,5.413756810200059e-06,45121.970363787696,43918.248552192315,1325.7615796813402,0.00012483860219229413,0.00012460784771906386,9.053584626341891e-06,0.000847919703951539,0.0014643117726222967,0.00011871004475713137,0.0007919894470902523,0.5474405069245277,1.25544206807208,0.22650796714231836,0.9651426780913581
superconducting,0.00010651888510630312,0.00010496169327506161,5.0480128498141944e-06,7.927586304431137e-05,7.562350576393947e-05,4.123570503404871e-06,6.880399262005573e-05,3.267139820304531e-06,8.397238871198812e-05,6.149878977200941e-06,18988.103695349113,21068.360308778658,1401.5545567775175,0.0012790159670190576,0.001193297324400034,8.899764527881577e-05,0.00016638981962020354,0.003565755284686968,0.000937058031724827,7.43834710060505e-05,0.11910328176686835,2.8941610574205967,1.4968916659071847,0.09978301796032546
superconducting,0.00018255362951566931,0.00019815271880129794,9.449170564830508e-06,8.32982418606189e-05,8.823465290603518e-05,3.7491449047736342e-06,8.876866843966141e-05,4.788468157673766e-06,8.738872913188358e-05,6.026779107748057e-06,21807.00471537844,22402.776401937033,1215.193506084522,0.0006258147813161902,0.0005539300839985827,4.2178181882547904e-05,0.00022290326488868888,0.0009089366337814123,7.30044823771054e-05,2.4482256390961414e-05,0.14223770335771962,0.7713964559177947,0.10571884830821987,0.03300292037621099
superconducting,8.126763639155806e-05,8.730075526498947e-05,3.228738188009634e-06,8.424396257471037e-05,8.579588106266635e-05,3.409999759596085e-06,8.447125136659472e-05,3.944341983807377e-06,8.971546422134874e-05,6.784959509045603e-06,56456.19244554145,56507.947881624874,1275.7252368734723,0.0003909172665659238,0.00039564821802096626,2.8609799216874054e-05,0.0017229339822669473,0.0001367805191036236,0.00015253948580052102,0.00045994403001598606,1.169515865044901,0.13135908727320225,0.2417361419553003,0.6396935292660737
superconducting,0.00032423905213605495,0.0003361860143843924,1.3231298637142416e-05,0.00013960808398846947,0.00014251006372041722,7.043539837798091e-06,0.0001460130268403783,7.874647412494677e-06,0.00013906062971217725,9.9229425861044e-06,14380.805696274885,14091.204744481412,678.3189111415938,0.0002623420789634416,0.00024466785955708524,1.8231673527183392e-05,0.0008333133398665958,0.0017138303160728595,0.00033679040963884623,2.190386514255655e-05,0.5812370347580949,1.6125249631488139,0.49656421192852784,0.02499061833955283
superconducting,8.406514630868209e-05,9.216538334168519e-05,2.530331923549667e-06,6.401296075994013e-05,6.828128702446824e-05,3.458578635387853e-06,6.49297956713824e-05,3.3092781584769215e-06,7.344227038057232e-05,5.511965874002766e-06,79774.92094527905,78451.28779866855,1765.4162611428599,0.0006152921549039016,0.0007047671739573493,4.893197361737816e-05,0.0010672552533765275,0.0020076476985237237,7.646241767339014e-05,0.00023226653235905863,0.7333722347786067,1.8015741388760358,0.11854995804997304,0.2660392743514176
superconducting,0.0003448890633805412,0.00037596561995212346,1.7174491116914804e-05,0.00010181484641050628,0.00010908830413008545,5.806324495652676e-06,0.00010793874201258821,4.55622702723093e-06,0.00011076619446896876,8.518456869761263e-06,33350.0794835561,31929.632542704432,942.6371864590287,0.00014441912455685017,0.00014047441258454603,1.0456240230646798e-05,0.002423653479763016,0.0031657753682876066,0.0006879561804926074,0.0009047028160783358,1.6503443818548842,2.7366775689134775,1.286648102713243,1.142729966873528
superconducting,0.00037423554851189833,0.0003698785687332733,1.3900906021247067e-05,0.0001457121720648877,0.00014216103925510508,6.009460415015431e-06,0.00014769669825011043,7.238978264034011e-06,0.00012988832143379347,9.035212672089787e-06,33500.48832168103,33781.593112531955,714.8141087719399,0.0007533426687527585,0.0008038378347628083,5.7099162876325535e-05,0.0010357775939315486,0.0001170146150526405,0.00016356569065558823,0.0011695199971477736,0.6518769011495885,0.09752486208535358,0.20708298606036218,1.4231451792678107
superconducting,0.00029985229141592826,0.00030381155498543393,1.4375246644125334e-05,0.00011341803556589739,0.00010256251988583012,3.5642510955736603e-06,9.72759423788217e-05,4.143404551167962e-06,0.00011760762519155949,6.989846728609294e-06,25906.819189846792,26028.041086141253,1055.3803588565115,0.0003331991461296626,0.0003448444672531126,2.4735651214239993e-05,0.0001675488752332663,0.0005856448673506855,0.0008866518788657688,0.0001451736525905417,0.12594919703861587,0.5655184718065899,1.388965420784308,0.16000708838972
superconducting,0.00023562993213509584,0.0002492589417798034,9.78659355665631e-06,0.00013081316344747154,0.00013376143524827038,6.816815243040284e-06,0.00013427641332798017,7.238348199357574e-06,0.00013330322659179097,9.370984990631668e-06,26029.863463112182,26861.64842880979,771.3135841307801,0.0006833538732235805,0.0006196489547038391,4.670491701362993e-05,0.0008195794036167279,0.002268846130112572,0.002277110231668274,1.3766091973212197e-05,0.5677480041557781,1.8837228094482446,4.910914784025794,0.019264272910867714
superconducting,0.0002516689385321133,0.0002678584357989666,1.0293171117889306e-05,0.00011663094167449522,0.00011590947698221695,4.837897599216601e-06,0.00011687841751105955,6.097823823208666e-06,0.00011426352215677021,7.947586574220222e-06,18209.977108994615,17955.272713881834,910.0497046535683,0.0008010591253123942,0.0007968774414713465,5.791662138471369e-05,0.0007655939090825274,0.001210663325236188,0.0006736553769935722,1.806047989346616e-05,0.48639317908295937,0.9900296211376084,1.3026779407459943,0.02291825783224087
superconducting,0.0003766191154934363,0.0003601930480404274,1.6896131232134814e-05,6.89914893021312e-05,6.275964438038228e-05,2.543938985567924e-06,6.160274030788164e-05,2.946001019762813e-06,6.615159926789647e-05,5.044396918186097e-06,34851.561597006585,34022.07980653648,1583.062373571016,0.0007182977273831455,0.0007143091186718547,5.524094854588222e-05,0.00042616576373656173,0.00028706662062011215,0.0008804326756808471,0.0003800394210076194,0.2911804717484816,0.24268934425005378,1.1815515233292984,0.42739501389166135
superconducting,0.00039783231801514615,0.00040871024922858304,1.851083086465025e-05,0.00012530334506314142,0.0001243886026551678,7.255975402669037e-06,0.00013446321867961996,6.2289261991618846e-06,0.00011985002816577044,8.73884574825381e-06,35279.94114254131,36865.96050906028,829.1138993075435,0.00023370012708465857,0.00022586003518179583,1.6605118878325242e-05,0.0005179703573679166,0.005296579103416944,0.0001248401123889224,0.00011908347224866222,0.3333978969207313,4.369088194974168,0.23346754473651946,0.1637924108105002
superconducting,0.00032084833402247807,0.00030676821002387374,1.307641410466358e-05,8.506066883925234e-05,8.484659604722554e-05,3.533473263219005e-06,8.341603556024541e-05,4.1309857326162625e-06,8.87467465495314e-05,6.820893451044335e-06,27412.34172506926,27740.826013090853,1231.9477019940286,0.0016371000394539586,0.001695746558780186,0.0001214378405600012,0.0014890620195158147,0.0004780725924123239,0.0008888773668005669,0.0008125736288583363,0.9786513897523523,0.3936122228207548,1.497859382004411,0.9102186389127633
superconducting,0.0003138203897751526,0.000324898545273221,1.556716846016192e-05,6.483507950759057e-05,6.510556960264766e-05,2.682362222394384e-06,6.520883255464006e-05,3.1009242496655756e-06,6.506160983759877e-05,3.2028202830826925e-06,71355.22090948274,73112.86620253917,1603.9572391638847,0.00019238444390051515,0.00020187242678092315,1.4415343856993789e-05,0.0003861623489734477,0.00305887479964262,0.00010387314790598446,0.0006784715419065872,0.2471205515550137,2.5059476794813045,0.1783560240448946,0.8934126569279185
superconducting,0.0003824690440149716,0.00033174123091924784,1.572225767414915e-05,0.00010324563082089077,0.0001058332729318343,3.719980570216796e-06,0.00010439681284301346,5.0977722127421975e-06,0.00010746946183248081,5.4406446940495774e-06,30837.920716696644,30744.8181501291,1000.8033246346669,0.0002561911572172938,0.00024180720492839996,1.7941641582810784e-05,0.0030616589617228724,0.0008369443017752985,0.0007993001626512668,0.00019939678102010017,2.2294473781878397,0.7292438250592644,1.6791681942774412,0.22007393386374996
