arch,T1_true,T1_rec,T1_sig,T2_true,T2_rec,T2_sig,T2_ramsey_rec,T2_ramsey_sig,T2_echo_rec,T2_echo_sig,dw_true,dw_rec,dw_sig,eps_true,eps_rec,eps_sig,t1_chi2,ramsey_chi2,gate_chi2,echo_chi2
superconducting,0.00011922096309563893,0.00011275392048192066,2.7134501649001813e-06,6.062698612250164e-05,5.8450730194818426e-05,2.546552930696173e-06,5.89405078206065e-05,3.1952166696219828e-06,5.7597946331196834e-05,4.2161915107401606e-06,30766.557704331924,29017.848858902908,1581.7702106208817,0.0003372250969959066,0.00031351069885208566,2.3392547246866352e-05,2.6292073536518834,0.6558108445945018,0.1742643990939687,0.007273066120685748
superconducting,0.00035433397553816693,0.0003000881408013323,1.4246609263312961e-05,6.0449948174479026e-05,4.754275553029724e-05,2.3727764081818854e-06,4.71107198887336e-05,2.6591768968707845e-06,4.815471892057688e-05,3.6884769643458323e-06,64848.820431142594,61944.43587772911,1994.1347509224447,0.000275231814320141,0.00026026852169101083,1.928834545464606e-05,1.6510868247794197,1.3582941410281735,0.3874432240811191,0.5065075202505511
superconducting,0.00038557957250191983,0.00038029508644848086,1.742328556061002e-05,9.305450229844005e-05,0.00010414031328723673,3.892739894631693e-06,0.00010212498085898926,5.156630844688945e-06,0.00010624643061083387,4.865522214048769e-06,46941.68001690473,47200.526702170064,1032.1211962245522,0.0016691761957003924,0.0016090661280842727,0.00011842096723720021,0.02007479515077486,1.1151829909254904,0.06055753430417205,1.3090467861396131
superconducting,8.622787545707013e-05,8.838442248972543e-05,3.2125564332674047e-06,8.499245952388595e-05,9.038131781547924e-05,3.7738783106250073e-06,9.252377729222198e-05,4.208276288011162e-06,8.158136241346643e-05,6.201666920504261e-06,23801.14708042497,24037.94201656394,1197.7357273476616,0.0014856260941540536,0.0015700536077924848,9.217005561932775e-05,1.8032334539187183,0.5061655355980861,2.251347785629768,1.8912958522577583
superconducting,0.00013785383380716053,0.00013536638457044688,6.170446470677584e-06,0.00010714974139762195,0.00011337919842621678,4.7583560744511574e-06,0.00011270434355188427,5.729306528721529e-06,0.00011487974157426107,8.543210513353275e-06,19143.691293331118,18436.549346797467,872.7663546921791,0.00012986833698482706,0.00012538740784086224,9.221489627120407e-06,2.3438767038722768,0.16459177160007402,1.8342035239642254,0.3333581621936949
superconducting,0.0001764097081288574,0.00017304833524377835,8.25342312074532e-06,0.00012614485191360446,0.00013036572696571502,5.0423816374746345e-06,0.00013245158090582812,6.526682087225355e-06,0.00012727731456943576,7.941785541510072e-06,36486.205346284376,37530.77984137944,789.5708549610395,0.00022903274081784823,0.00021530789840482547,1.5999224479712285e-05,0.7890868417900784,0.6489271023473515,0.07235258986844502,0.06926930161922926
superconducting,0.00017223432523428374,0.00015571046101719904,7.495285898456151e-06,5.3580287621300446e-05,5.5025434247016935e-05,2.3244327264621836e-06,5.501012637789027e-05,2.7438514618190988e-06,5.506434233760493e-05,4.242355622908235e-06,45414.16478151685,47327.124702782574,1876.181766354543,0.0010106577026751384,0.0009736810974018276,7.17098440757237e-05,1.0441796031634727,0.4126711676773639,0.2630890474712051,1.063242259486443
superconducting,0.00014771930241489625,0.0001409501068199193,6.07986712822487e-06,0.00011832665100405682,0.0001003368487537163,3.98328556676803e-06,9.707543107574266e-05,4.701131491538941e-06,0.00010863759992233118,6.520584142254822e-06,13923.990240940479,13945.511213864764,979.3733650624864,0.0006932097798468696,0.0007488513483827596,5.292213326274238e-05,0.021166459288574302,0.36339861297643566,3.0159692361751285,1.3229479715044852
superconducting,0.0003719821104626441,0.000375203096855338,1.803073609792561e-05,8.286045223669933e-05,7.955933436806376e-05,3.899504268131641e-06,8.125280463706012e-05,4.150628583914906e-06,7.776004191453505e-05,3.276643555305734e-06,24887.551885800884,23807.10862166903,1275.824664650613,0.0010685081375494206,0.0010373439742828033,7.614671681187873e-05,0.11951611787842377,1.7133984894381087,0.5355068317899755,2.921136875007879
superconducting,0.00039294339894521734,0.00035262429984770683,1.5841142167466465e-05,0.00014848273569910666,0.0001396513233488343,5.951837442237801e-06,0.0001396452177055878,6.41000740894485e-06,0.0001396634904929663,1.0296455554323725e-05,16068.343896748818,15302.944212382285,715.3336938414516,0.0005451890762589876,0.0005435295101727454,3.950413556052123e-05,0.81995512405701,1.294795577673744,0.15249370896862216,0.10847027787933212
