timestamp,backend,qubit_id,T1_us,T2_us,sx_error,x_error,cz_error,readout_error,t_sx_ns,t_x_ns,t_cz_ns,T1_roll_med,CZ_roll_med,RO_roll_med,pct_T1_drop,pct_T1_dev,pct_CZ_rise,pct_RO_rise,zone,F_bell,F_coherence,F_gate
2025-11-26,ibm_fez,0,51.2609,44.1728,0.00121751,0.00121751,0.00646222,0.01184082,24.0,24.0,68.0,60.161699999999996,0.006766045,0.010681155000000001,0.14794794692504562,0.14794794692504562,-0.04490430538918169,0.10857102198121636,grey,0.9652174426153427,0.954716827780464,0.9450600638707337
2025-11-27,ibm_fez,0,55.5854,47.6875,0.00141874,0.00141874,0.00701592,0.01025391,24.0,24.0,68.0,59.8312,0.00672794,0.01086426,0.07096297582683236,0.07096297582683236,0.04280352856367842,-0.056179568438560604,extreme_stable,0.9678691085784731,0.9531256645581015,0.9442137742791242
2025-11-28,ibm_fez,0,60.5564,49.8629,0.00113185,0.00113185,0.00649315,0.0123291,24.0,24.0,68.0,59.6833,0.006766045,0.010681155000000001,-0.014628882783855867,0.014628882783855867,-0.040332956205647225,0.15428513649962336,extreme_stable,0.9648114503000699,0.9571516011402726,0.9487514281706999
2025-11-29,ibm_fez,0,62.7495,50.0397,0.00115816,0.00115816,0.00708233,0.01049805,24.0,24.0,68.0,59.8312,0.00672794,0.01086426,-0.04877555522055783,0.04877555522055783,0.05267429157469964,-0.033707741063136364,extreme_stable,0.9678500276999729,0.9585688091031096,0.9503052654506658
2025-11-30,ibm_fez,0,48.5096,40.7355,0.0013508,0.0013508,0.0077167,0.01062012,24.0,24.0,68.0,60.161699999999996,0.006766045,0.010681155000000001,0.19367969984330896,0.19367969984330896,0.14050358739324464,-0.005714264314800955,grey,0.9659848027764129,0.9526653626643826,0.9423396925724986
2025-12-01,ibm_fez,0,60.187,45.7964,0.0013508,0.0013508,0.00612173,0.01147461,24.0,24.0,68.0,59.8312,0.00680415,0.01062012,-0.00594673013311663,0.00594673013311663,-0.10029452570192358,0.08045946706867048,extreme_stable,0.9664636207620336,0.9533618094922091,0.9445642851783868
2025-12-02,ibm_fez,0,57.5205,47.9016,0.0013936,0.0013936,0.00653372,0.01257324,24.0,24.0,68.0,60.009100000000004,0.006766045,0.01074219,0.04147037698591216,0.04147037698591216,-0.03433684769041934,0.17045391074454014,extreme_stable,0.9638923430817941,0.9515291779612516,0.9427918198544754
2025-12-03,ibm_fez,0,58.4699,47.5031,0.00115547,0.00115547,0.00691398,0.00927734,24.0,24.0,68.0,59.8312,0.00672794,0.01086426,0.022752343255232663,0.022752343255232663,0.027651810729865733,-0.14606779838866304,extreme_stable,0.9702072307590137,0.9592932559649807,0.9505092743024116
2025-12-04,ibm_fez,0,58.4699,52.4239,0.00119046,0.00119046,0.00691398,0.00952148,24.0,24.0,68.0,59.6833,0.006766045,0.01074219,0.020330645252469175,0.020330645252469175,0.021864291673656226,-0.1136368714043678,extreme_stable,0.96987144850832,0.9588357140200551,0.9505106013826754
2025-12-05,ibm_fez,0,58.4699,52.4239,0.00119046,0.00119046,0.00910984,0.01049805,24.0,24.0,68.0,59.5354,0.00680415,0.01062012,0.01789691510968316,0.01789691510968316,0.3388647533273761,-0.011494209581238663,grey,0.9658195843326041,0.9578903424907051,0.9495734380628768
2025-12-06,ibm_fez,0,54.1891,35.9876,0.00137456,0.00137456,0.01160405,0.00952148,24.0,24.0,68.0,59.00265,0.006849925,0.010559085,0.0815819289334323,0.0815819289334323,0.6940394324909652,-0.098266470753412,grey,0.9642199941730649,0.9530255849985444,0.9424494377687382
2025-12-07,ibm_fez,0,59.9343,50.0084,0.00119813,0.00119813,0.00617359,0.01025391,24.0,24.0,68.0,58.4699,0.0068957,0.01049805,-0.02504536521782223,0.02504536521782223,-0.104718730921109,-0.023255725343539695,extreme_stable,0.96910727545669,0.9578648006242683,0.9494323804691405
2025-12-08,ibm_fez,0,55.1413,46.7593,0.0010853,0.0010853,0.01066707,0.01000977,24.0,24.0,68.0,59.00265,0.006849925,0.01049805,0.06544367073928993,0.06544367073928993,0.5572527330551313,-0.04651145068707939,grey,0.9650584268453763,0.9596197832573875,0.9505179442398892
2025-12-09,ibm_fez,0,60.1632,55.9555,0.0011175,0.0011175,0.01166126,0.01220703,24.0,24.0,68.0,58.4699,0.0068957,0.01049805,-0.02896020002959469,0.02896020002959469,0.6910905476013346,0.1627900774047777,grey,0.9602270196149967,0.9580180568365586,0.9500875038253792
2025-12-10,ibm_fez,0,57.397,50.4431,0.00112845,0.00112845,0.0069062,0.00964355,24.0,24.0,68.0,59.00265,0.006904840000000001,0.01049805,0.0272131844879488,0.0272131844879488,0.0001969630042650788,-0.08139599125933737,extreme_stable,0.9696048573503372,0.9596646499352194,0.9510862065141558
2025-12-11,ibm_fez,0,61.8576,56.9921,0.00135427,0.00135427,0.00875068,0.00976562,24.0,24.0,68.0,58.4699,0.0069062,0.01049805,-0.05793921315789154,0.05793921315789154,0.26707557401237436,-0.0697681285875677,grey,0.9676612914781366,0.9560207791429132,0.9482857944096524
2025-12-12,ibm_fez,0,61.8576,56.9921,0.00135427,0.00135427,0.00875068,0.00939941,24.0,24.0,68.0,59.00265,0.006910090000000001,0.01049805,-0.048386809736785164,0.048386809736785164,0.26636228129838924,-0.10465171660287707,grey,0.9683771477946403,0.9563743362164717,0.9486364909192715
2025-12-13,ibm_fez,0,59.7399,57.4299,0.00123951,0.00123951,0.00635947,0.00866699,24.0,24.0,68.0,59.00265,0.00691398,0.01037598,-0.01249520148459508,0.01249520148459508,-0.08020115736354844,-0.16470621116635623,extreme_stable,0.9722215657031948,0.9591832131173506,0.9513215175372751
2025-12-14,ibm_fez,0,59.7399,51.2108,0.00138993,0.00138993,0.00601481,0.00854492,24.0,24.0,68.0,59.00265,0.00691398,0.01037598,-0.01249520148459508,0.01249520148459508,-0.13005081002431307,-0.1764708716951347,extreme_stable,0.9724626131496672,0.9559347490830037,0.9476145729787229
2025-12-15,ibm_fez,0,59.4439,45.4266,0.00109637,0.00109637,0.00641969,0.01171875,24.0,24.0,68.0,59.1049,0.00691398,0.01025391,-0.005735565070622621,0.005735565070622621,-0.07149128072213014,0.1428565855789786,extreme_stable,0.9659084798331729,0.9579069680577077,0.948978893489517
