architecture,noise_class,amplitude,instance_idx,seed,t1,ramsey,echo,gate
neutral_atom,t1_telegraph,0.0,0,77141000,0.9203880978361435,5.229903922421313,1.500541475050227,0.40839906553912597
neutral_atom,t1_telegraph,0.0,1,77141001,0.6617881823631949,0.08985273198419363,1.0242702652526199,1.8030311471553175
neutral_atom,t1_telegraph,0.0,2,77141002,1.2548493190393086,0.6573508723088783,1.217928309580982,0.9328751848592953
neutral_atom,t1_telegraph,0.0,3,77141003,3.5449926149083137,1.2594813353223069,1.1561223613189595,0.12376950724716312
neutral_atom,t1_telegraph,0.0,4,77141004,2.4462271951901386,0.37222644432421176,4.353871242864253,0.5759409236771323
neutral_atom,t1_telegraph,0.0,5,77141005,0.503771019910259,0.292409250861605,2.298980440966888,0.47606601464262593
neutral_atom,t1_telegraph,0.0,6,77141006,2.6916638162835405,1.0085495011282333,0.731308231641092,2.582720526109442
neutral_atom,t1_telegraph,0.0,7,77141007,1.2099731893421872,3.275731564826826,0.5226174264472203,0.7974908591658649
neutral_atom,t1_telegraph,0.0,8,77141008,1.6231536684084005,0.8277749561216712,0.4042776452096727,1.686290743792341
neutral_atom,t1_telegraph,0.0,9,77141009,2.445627091890043,0.11958186653104104,0.04385257954470442,1.5929693526530118
neutral_atom,t1_telegraph,0.0,10,77141010,2.6156676981506615,2.933683410237384,0.20598371473298793,1.3309248855582405
neutral_atom,t1_telegraph,0.0,11,77141011,0.6587493473025868,0.6693699598390476,1.3793044987742147,0.0018956951595535455
neutral_atom,t1_telegraph,0.0,12,77141012,0.1154363852799713,6.516511120293282,0.9314704897458912,1.0788338619927136
neutral_atom,t1_telegraph,0.0,13,77141013,0.6379013933610012,6.258016368180292,1.1433009651202877,1.1064884340314292
neutral_atom,t1_telegraph,0.0,14,77141014,1.5514695465416293,1.7677994977021547,2.1271154230742755,1.1420918226908943
neutral_atom,t1_telegraph,0.0,15,77141015,1.43575725124778,0.41496653323328303,0.9410215765259922,1.2825171472533103
neutral_atom,t1_telegraph,0.0,16,77141016,0.4787761007654457,7.807577254140703,2.7305798051862045,0.01266747959896799
neutral_atom,t1_telegraph,0.0,17,77141017,7.105271339891912,1.2639214000177375,0.5296795595905173,0.3283150020128131
neutral_atom,t1_telegraph,0.0,18,77141018,2.260400007153004,14.283087723279888,0.4607329614870084,2.3109283027530743
neutral_atom,t1_telegraph,0.0,19,77141019,0.28518369435175506,2.1690998071975875,2.480647122380021,0.12529554097647855
neutral_atom,t1_telegraph,0.05,0,77141100,0.4012643808684857,1.8645183495767383,2.154874511073062,0.5104983223677818
neutral_atom,t1_telegraph,0.05,1,77141101,0.6198029397519991,1.8916182963053523,1.31975730307394,0.008443857606437606
neutral_atom,t1_telegraph,0.05,2,77141102,1.6291851074988215,1.0074413326819331,1.1108037224377143,1.1287228975590025
neutral_atom,t1_telegraph,0.05,3,77141103,0.03429220252704264,0.2451139324736588,3.6507829280996287,0.528976942701451
neutral_atom,t1_telegraph,0.05,4,77141104,1.124986588092814,1.3129383846855518,1.582620273221481,0.7427501572089037
neutral_atom,t1_telegraph,0.05,5,77141105,0.7707162686141648,9.443102485743392,1.317724379860783,1.1505572686876675
neutral_atom,t1_telegraph,0.05,6,77141106,3.3434301576901966,3.024400481951205,0.9537055430801251,1.2384662868372642
neutral_atom,t1_telegraph,0.05,7,77141107,0.6644593371107494,4.616098031103599,8.74105669401309,0.0372225750145108
neutral_atom,t1_telegraph,0.05,8,77141108,1.6111686527302727,2.0947362175765805,2.049855537448812,0.4363182376997115
neutral_atom,t1_telegraph,0.05,9,77141109,6.347136273962899,1.8964464205844629,0.20064585303051838,0.37758220757671046
neutral_atom,t1_telegraph,0.05,10,77141110,4.03303944506519,1.6081241122180407,1.0198570087734016,1.1435562771353698
neutral_atom,t1_telegraph,0.05,11,77141111,3.336125515517746,0.9648485036729577,2.4162269332537414,2.6771976397831616
neutral_atom,t1_telegraph,0.05,12,77141112,0.4500026471271796,0.8322637224019619,1.5016620608344557,0.1350553501077504
neutral_atom,t1_telegraph,0.05,13,77141113,0.4358822641049954,0.9198588776601822,0.3883645087225294,0.45640629139056443
neutral_atom,t1_telegraph,0.05,14,77141114,3.313218078608302,0.2798885047975201,0.4094440843351015,2.246961502979885
neutral_atom,t1_telegraph,0.05,15,77141115,7.050281502758878,0.9922975201032103,3.7838756740824797,1.0914042884077988
neutral_atom,t1_telegraph,0.05,16,77141116,0.27149701881173705,17.945850373307234,0.2683283293858857,0.16992399433882044
neutral_atom,t1_telegraph,0.05,17,77141117,0.3817486309851479,0.4372264344713345,0.29908727146805153,0.10130600140598887
neutral_atom,t1_telegraph,0.05,18,77141118,0.3046901247595813,6.845952966721725,0.45953599844649407,0.40876016019677985
neutral_atom,t1_telegraph,0.05,19,77141119,0.6552692093866579,0.929916080502783,0.7248050347703898,0.8179963533993366
neutral_atom,t1_telegraph,0.1,0,77141200,0.6051699279142351,1.104118410331251,2.320098958719325,0.6879426807291384
neutral_atom,t1_telegraph,0.1,1,77141201,1.5914550895220394,1.986967489649293,2.6524864160172874,0.32322490853673425
neutral_atom,t1_telegraph,0.1,2,77141202,2.3457424163152316,1.6662851427620329,1.032922328198235,0.6646349459860543
neutral_atom,t1_telegraph,0.1,3,77141203,0.39082608286110243,0.6118817832462045,0.12081351517670041,0.25798892143375496
neutral_atom,t1_telegraph,0.1,4,77141204,0.550512352227114,1.2735536003748114,0.7424794464897815,0.3556142132762765
neutral_atom,t1_telegraph,0.1,5,77141205,0.2851349461449038,1.6987128940535592,1.1548724841640305,0.15841868386277314
neutral_atom,t1_telegraph,0.1,6,77141206,3.8017837833181614,1.082653698542814,0.1049515501304281,1.0422551452898925
