architecture,noise_class,amplitude,probe,mean_chi2_dof,ci_lo,ci_hi,n
neutral_atom,t1_telegraph,0.0,t1,1.722352347960864,1.1559376356768785,2.438546105776861,20
neutral_atom,t1_telegraph,0.0,ramsey,2.860844775997582,1.5301062268247656,4.522121426969101,20
neutral_atom,t1_telegraph,0.0,echo,1.3091803047247008,0.8834126588521426,1.8244386327642281,20
neutral_atom,t1_telegraph,0.0,gate,0.9849755748434397,0.6822124292281627,1.3221058728842179,20
neutral_atom,t1_telegraph,0.05,t1,1.838909817298643,1.05645964247411,2.8177943836738337,20
neutral_atom,t1_telegraph,0.05,ramsey,2.957632051426971,1.484215933971848,5.059270728075186,20
neutral_atom,t1_telegraph,0.05,echo,1.7176506824705844,1.00889161691003,2.6576867521949725,20
neutral_atom,t1_telegraph,0.05,gate,0.7704053306202449,0.5071970271100126,1.0778441414712163,20
neutral_atom,t1_telegraph,0.1,t1,1.7436454383288642,0.8670100500251484,2.8759026714576055,20
neutral_atom,t1_telegraph,0.1,ramsey,1.9072479768215698,1.4224974797497698,2.358201936185865,20
neutral_atom,t1_telegraph,0.1,echo,1.4519335656121837,0.9555504120759477,2.0030166406125565,20
neutral_atom,t1_telegraph,0.1,gate,0.7368790508443668,0.5135872478647115,1.0133056241129295,20
neutral_atom,t1_telegraph,0.2,t1,1.7557272669769266,0.9727057438862059,2.6553995672122435,20
neutral_atom,t1_telegraph,0.2,ramsey,4.79975562183359,2.4325739685668943,7.737493972206765,20
neutral_atom,t1_telegraph,0.2,echo,1.138419728021313,0.6828044477260309,1.663929141517903,20
neutral_atom,t1_telegraph,0.2,gate,0.9399848361150168,0.5330568396859159,1.4410555940284953,20
neutral_atom,t1_telegraph,0.3,t1,1.1786346013110192,0.7166616988156457,1.688529767613545,20
neutral_atom,t1_telegraph,0.3,ramsey,2.318685751427794,1.2006333806766656,3.910519124408838,20
neutral_atom,t1_telegraph,0.3,echo,1.4723716115292815,0.9415315304258963,2.0324639290828492,20
neutral_atom,t1_telegraph,0.3,gate,1.0056279569275755,0.5732192964287091,1.4767690700359246,20
neutral_atom,t1_telegraph,0.4,t1,1.3139474719871416,0.8533293858240524,1.8239157146513445,20
neutral_atom,t1_telegraph,0.4,ramsey,3.996689238623776,2.1295957627806814,6.193777241842625,20
neutral_atom,t1_telegraph,0.4,echo,2.635011994549081,0.7172852426114108,5.805598034608321,20
neutral_atom,t1_telegraph,0.4,gate,1.1145864144339883,0.6968963466672145,1.5354540910255572,20
