timestamp,F_bell,F_gate,F_coherence,mean_fidelity,mlp_prob,mlp_uncertainty,mlp_verdict,threshold_verdict,ibm_last_calibration
2026-04-16 09:04:47 UTC,0.981,0.985,0.994,0.986667,0.0,0.0,STABLE,STABLE,2026-04-16 05:44:15 UTC
2026-04-16 09:20:00 UTC,0.989,0.979,0.991,0.986333,4e-05,3.8e-05,STABLE,STABLE,2026-04-16 05:44:15 UTC
2026-04-16 09:35:13 UTC,0.986,0.984,0.993,0.987667,0.0,0.0,STABLE,STABLE,2026-04-16 05:44:15 UTC
2026-04-16 09:50:26 UTC,0.983,0.977,0.996,0.985333,1e-06,1e-06,STABLE,STABLE,2026-04-16 05:44:15 UTC
2026-04-16 10:05:39 UTC,0.985,0.986,0.994,0.988333,0.0,0.0,STABLE,STABLE,2026-04-16 05:44:15 UTC
2026-04-16 10:20:52 UTC,0.990,0.980,0.992,0.987333,5e-06,6e-06,STABLE,STABLE,2026-04-16 05:44:15 UTC
2026-04-16 10:36:05 UTC,0.984,0.975,0.990,0.983,0.46662,0.43343,STABLE,STABLE,2026-04-16 05:44:15 UTC
2026-04-16 10:41:23 UTC,0.985,0.973,0.981,0.979667,0.9326,0.025274,DRIFTED,DRIFTED,2026-04-16 05:44:15 UTC
2026-04-16 10:57:12 UTC,0.991,0.975,0.987,0.984333,0.386,0.000503,STABLE,STABLE,2026-04-16 05:44:15 UTC
2026-04-16 11:12:23 UTC,0.985,0.96,0.989,0.978,0.08303,0.011832,STABLE,DRIFTED,2026-04-16 05:44:15 UTC
2026-04-16 11:27:35 UTC,0.979,0.969,0.974,0.974,0.17184,0.027628,STABLE,DRIFTED,2026-04-16 05:44:15 UTC
2026-04-16 11:42:48 UTC,0.971,0.958,0.98,0.969667,0.8914,3.4e-05,DRIFTED,STABLE,2026-04-16 05:44:15 UTC
2026-04-16 11:58:01 UTC,0.962,0.96,0.957,0.959667,0.9673,0.001502,DRIFTED,STABLE,2026-04-16 05:44:15 UTC
2026-04-16 12:13:15 UTC,0.959,0.972,0.963,0.964667,0.9045,3.9e-05,DRIFTED,STABLE,2026-04-16 05:44:15 UTC
2026-04-16 12:28:26 UTC,0.984,0.955,0.975,0.971333,0.9381,0.012684,DRIFTED,DRIFTED,2026-04-16 05:44:15 UTC
2026-04-16 12:43:38 UTC,0.962,0.972,0.958,0.964,0.8857,0.000577,DRIFTED,DRIFTED,2026-04-16 05:44:15 UTC
2026-04-16 12:59:43 UTC,0.982,0.951,0.989,0.974,0.001224,0.001507,STABLE,DRIFTED,2026-04-16 05:44:15 UTC
2026-04-16 13:16:25 UTC,0.956,0.971,0.961,0.962667,0.9512,0.002567,DRIFTED,STABLE,2026-04-16 05:44:15 UTC
2026-04-16 13:31:41 UTC,0.982,0.948,0.977,0.969,0.9239,0.052304,DRIFTED,DRIFTED,2026-04-16 05:44:15 UTC
2026-04-16 13:46:52 UTC,0.963,0.982,0.954,0.966333,0.8963,1.8e-05,DRIFTED,STABLE,2026-04-16 05:44:15 UTC
2026-04-16 14:02:09 UTC,0.978,0.953,0.987,0.972667,0.9147,0.008349,DRIFTED,STABLE,2026-04-16 05:44:15 UTC
2026-04-16 14:17:20 UTC,0.962,0.947,0.959,0.956,0.9724,0.230508,DRIFTED,DRIFTED,2026-04-16 05:44:15 UTC
2026-04-16 14:35:24 UTC,0.957,0.962,0.953,0.957333,0.9058,0.006015,DRIFTED,DRIFTED,2026-04-16 05:44:15 UTC
